Animal Type,Sub-Type,Breed,Age,Age Group,Gender,Disease,Disease_Code,Critical,Severity,Duration (days),Expected_Recovery_Time (days),Symptoms,Is_Vaccinated,Reported_By,Cause of Disease,Precautions,Care,Home Remedies,Treatment/Medicine,Critical_Symptom_1,Critical_Symptom_2,Critical_Symptom_3,Critical_Symptom_4,Critical_Symptom_5,Critical_Symptom_6
Cattle,Bullock,Punganur,4.9,Adult,Male,Acidosis,9,False,1,8.0,13,"['Dehydration', 'Signs of shock', 'Cold extremities', 'Depression', 'Blindness', 'Diarrhea']",True,Veterinarian,Excess grain feeding leading to rumen pH drop,Avoid excessive grain feeding and introduce dietary changes gradually.,Provide easily digestible feed and maintain hydration throughout recovery.,Provide baking soda solution orally to balance rumen pH.,"Administer IV fluids, oral sodium bicarbonate, and thiamine injections.",,,,,,
Cattle,Calf,Kankrej Calf,4.2,Adult,Male,Anorexia,10,False,1,11.0,14,"['Reduced feed intake', 'Weakness', 'Refusal to eat', 'Severe diarrhea', 'Severe bloating', 'Intense pain']",True,Para-vet,Secondary to multiple systemic diseases or stress,Monitor for underlying diseases and reduce environmental stress.,"Offer soft, palatable food and ensure clean water availability.",Provide green fodder and jaggery water to stimulate appetite.,Treat the underlying cause and provide vitamin supplements.,,,,,,
Cattle,Bullock,Punganur,5.8,Adult,Male,Fascioliasis,24,True,2,3.0,12,"['Sudden Death', 'Inability to stand', 'Jaundice', 'Anemia', 'Inability to Stand', 'Extreme Paleness', 'Profound Weakness', 'Bottle jaw']",False,Veterinarian,Fasciola hepatica (liver fluke),Control access to snail-infested pastures and treat water sources.,Provide iron-rich feed and proper hydration.,Avoid grazing in marshy or waterlogged areas.,Administer triclabendazole or closantel for deworming.,Sudden Death,Anemia,Extreme Paleness,Inability to Stand,Profound Weakness,Jaundice
Cattle,Calf,Karan Swiss Calf,5.4,Adult,Female,Helminthiasis,23,False,1,9.0,5,"['Weight loss', 'Inability to stand', 'Bottle Jaw', 'Weakness and Collapse', 'Diarrhea', 'Poor growth']",False,Veterinarian,Gastrointestinal worm infestation,Deworm animals regularly and avoid overgrazing pastures.,Provide nutritious feed to restore body condition.,Give neem leaf decoctions and implement rotational grazing.,Administer dewormers like albendazole or ivermectin according to veterinary dosage.,,,,,,
Goat,Common,Jamunapari,1.8,Young,Female,Mastitis,17,False,1,6.0,6,"['Systemic illness', 'Fever', 'Painful milking', 'Painful udder', 'Swollen udder', 'Abnormal milk']",True,Farmer,"Bacterial infection (Staph, Strep)",Maintain strict milking hygiene and disinfect equipment regularly.,Milk the affected udder gently and provide pain relief.,Apply warm compresses on the udder and turmeric paste for inflammation.,"Use intramammary antibiotics, NSAIDs, and maintain udder hygiene.",,,,,,
Goat,Common,Malabari,6.7,Adult,Female,Caseous Lymphadenitis,35,False,1,5.0,10,"['Weight loss', 'Poor Performance', 'Abscesses in lymph nodes']",False,Para-vet,Corynebacterium pseudotuberculosis,Maintain strict biosecurity and disinfect equipment.,Provide clean housing and monitor for new abscesses.,Apply turmeric or neem paste on abscesses.,"Drain abscesses, administer antibiotics, and vaccinate the herd.",,,,,,
Cattle,Calf,Frieswal Calf,1.9,Young,Female,Johne's Disease,34,False,1,1.0,10,"['Weight loss', 'Bottle Jaw', 'Chronic diarrhea', 'Poor milk production']",True,Para-vet,Mycobacterium avium subspecies paratuberculosis,Implement test-and-cull programs and prevent fecal contamination of feed.,Provide high-quality nutrition and stress-free care.,Provide supportive feeding and improve overall hygiene.,No cure is available; cull infected animals and manage herd hygiene.,,,,,,
Goat,Common,Rajasthani cross,7.5,Adult,Female,Anthrax,36,False,1,10.0,15,"['Sudden death', 'Weakness and staggering', 'Fever', 'Bleeding from orifices', 'Rapid bloating']",False,Veterinarian,Bacillus anthracis,Regularly vaccinate livestock in endemic regions and report cases immediately.,Isolate affected areas and implement strict biosecurity.,Avoid handling carcasses and contaminated material.,No treatment; vaccinate and dispose of carcasses safely.,,,,,,
Goat,Common,Rajasthani cross,1.8,Young,Male,Polioencephalomalacia,31,False,1,6.0,5,"['Seizures', 'Recumbency', 'Head pressing', 'Circling', 'Muscle Tremors', 'Blindness']",False,Farmer,Thiamine deficiency or sulfur toxicity,Avoid feeding high-sulfur diets and ensure balanced vitamin intake.,"Keep the animal in a calm, low-stress environment.",Provide molasses mixed with yeast water.,Administer injectable thiamine (Vitamin B1) and anticonvulsants.,,,,,,
Cattle,Bullock,Malvi,7.3,Adult,Male,Johne's Disease,34,True,3,365.0,20,"['Weight loss', 'Bottle Jaw', 'Poor Milk Production', 'Poor milk production', 'Chronic diarrhea', 'Weight Loss']",True,Para-vet,Mycobacterium avium subspecies paratuberculosis,Implement test-and-cull programs and prevent fecal contamination of feed.,Provide high-quality nutrition and stress-free care.,Provide supportive feeding and improve overall hygiene.,No cure is available; cull infected animals and manage herd hygiene.,Weight Loss,Chronic diarrhea,Bottle Jaw,Poor Milk Production,,
Goat,Common,Marwari,0.3,Kid,Female,Anaplasmosis,27,False,1,9.0,9,"['Weight loss', 'Aggression', 'Fever', 'Anemia', 'Lethargy and Weakness', 'Unable to stand']",False,Farmer,Anaplasma ovis/marginale,Control ticks and avoid shared needles during injections.,Offer easily digestible feed and adequate hydration.,Apply neem-based tick repellents.,Administer oxytetracycline and provide supportive therapy.,,,,,,
Goat,Common,Sirohi,7.2,Adult,Male,Helminthiasis,23,True,2,7.0,5,"['Weight loss', 'Inability to stand', 'Bottle Jaw', 'Anemia', 'Weakness and Collapse', 'Extreme Paleness', 'Diarrhea']",True,Farmer,Gastrointestinal worm infestation,Deworm animals regularly and avoid overgrazing pastures.,Provide nutritious feed to restore body condition.,Give neem leaf decoctions and implement rotational grazing.,Administer dewormers like albendazole or ivermectin according to veterinary dosage.,Anemia,Extreme Paleness,Bottle Jaw,Weakness and Collapse,Inability to stand,
Cattle,Calf,Ongole Calf,0.6,Calf,Female,Brucellosis,19,False,1,5.0,6,"['Abortions', 'Reduced milk production', 'Infertility', 'Swollen joints in males', 'Retained placenta', 'Swelling of testicles (Orchitis)']",False,Para-vet,Brucella melitensis/abortus,Vaccinate animals and prevent cross-contamination during breeding.,Isolate infected animals and practice herd-level biosecurity.,Maintain strict hygiene and avoid handling aborted material.,No treatment is available; control through vaccination and culling.,,,,,,
Cattle,Cow,Lal Kandhari,5.9,Adult,Female,Listeriosis,21,False,1,10.0,13,"['Inability to stand', 'Circling', 'Anorexia', 'Depression', 'Complete facial paralysis', 'Head tilt']",False,Para-vet,Listeria monocytogenes,Avoid feeding spoiled silage and maintain clean feeding areas.,Provide nutritional support and isolate the animal to prevent further stress.,Provide soft bedding and easily consumable food.,Administer high-dose penicillin along with fluids and supportive therapy.,,,,,,
Cattle,Calf,Frieswal Calf,3.4,Adult,Male,Blackleg,5,True,2,2.0,8,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Acute lameness', 'Crepitus']",True,Veterinarian,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,Crepitus,Inability to stand,Rapid deterioration,,,
Cattle,Bullock,Nimari,5.4,Adult,Male,Tuberculosis,4,True,3,180.0,15,"['Weight loss', 'Poor milk yield', 'Difficulty breathing', 'Intermittent fever', 'Chronic cough', 'Enlarged lymph nodes']",True,Veterinarian,Mycobacterium bovis,Regularly test cattle for tuberculosis and cull infected animals to prevent herd infection.,Ensure proper ventilation and hygiene in cattle housing to minimize disease spread.,Provide high-nutrition feed to maintain body condition.,Test and cull infected animals as there is no effective treatment; implement strict herd surveillance.,Chronic cough,Difficulty breathing,Weight loss,Enlarged lymph nodes,,
Goat,Common,Malabari,2.7,Adult,Male,Leptospirosis,22,False,1,7.0,11,"['Reduced milk', 'Jaundice', 'Fever', 'Abortions', 'Hemoglobinuria (Red Water)', 'DepressionInability to stand']",False,Para-vet,Leptospira spp.,Control rodents and maintain clean water sources.,Ensure rest and provide energy-rich feed to support recovery.,Provide clean drinking water and ensure rodent control.,Administer streptomycin or tetracycline and vaccinate for herd protection.,,,,,,
Cattle,Cow,Mewati,4.7,Adult,Female,Bloat,8,False,1,9.0,15,"['Decreased appetite', 'Restlessness', 'Left‑side abdominal swelling', 'Difficulty breathing', 'Staggering', 'Sudden collapse and Death']",False,Farmer,"Excess lush pasture, high grain intake, rumen gas buildup",Avoid sudden introduction to lush pasture and regulate grain feeding.,Keep the animal calm and provide supportive care until gas release occurs.,Provide vegetable oil drench and allow neem stick chewing.,Administer antifoaming agents and perform trocarization or rumenotomy if necessary.,,,,,,
Cattle,Cow,Deoni,3.6,Adult,Female,Listeriosis,21,False,1,11.0,14,"['Inability to stand', 'Circling', 'Fever', 'Depression', 'Complete facial paralysis', 'Head tilt']",True,Farmer,Listeria monocytogenes,Avoid feeding spoiled silage and maintain clean feeding areas.,Provide nutritional support and isolate the animal to prevent further stress.,Provide soft bedding and easily consumable food.,Administer high-dose penicillin along with fluids and supportive therapy.,,,,,,
Cattle,Bull,Punganur,2.2,Young,Male,Listeriosis,21,True,2,4.0,10,"['Inability to stand', 'Circling', 'Fever', 'Anorexia', 'Complete facial paralysis', 'Depression', 'Head tilt']",True,Para-vet,Listeria monocytogenes,Avoid feeding spoiled silage and maintain clean feeding areas.,Provide nutritional support and isolate the animal to prevent further stress.,Provide soft bedding and easily consumable food.,Administer high-dose penicillin along with fluids and supportive therapy.,Inability to stand,Complete facial paralysis,Depression,Anorexia,,
Goat,Common,Nubian,7.5,Adult,Male,Listeriosis,21,False,1,14.0,14,"['Inability to stand', 'Fever', 'Anorexia', 'Depression', 'Complete facial paralysis', 'Head tilt']",False,Veterinarian,Listeria monocytogenes,Avoid feeding spoiled silage and maintain clean feeding areas.,Provide nutritional support and isolate the animal to prevent further stress.,Provide soft bedding and easily consumable food.,Administer high-dose penicillin along with fluids and supportive therapy.,,,,,,
Goat,Common,Barbari,7.7,Adult,Female,Enterotoxemia,13,False,1,13.0,8,"['Incoordination', 'Convulsions', 'Opisthotonos', 'Diarrhea', 'Abdominal pain', 'Prostration']",False,Para-vet,Clostridium perfringens toxin,Ensure regular vaccination against clostridial diseases.,Provide supportive therapy and maintain a calm environment.,Implement controlled feeding practices.,"Administer clostridial antitoxin, broad-spectrum antibiotics, and IV fluids.",,,,,,
Cattle,Bullock,Amrit Mahal,7.1,Adult,Male,Tuberculosis,4,False,1,1.0,8,"['Weight loss', 'Poor milk yield', 'Intermittent fever', 'Difficulty breathing', 'Chronic cough', 'Enlarged lymph nodes']",True,Veterinarian,Mycobacterium bovis,Regularly test cattle for tuberculosis and cull infected animals to prevent herd infection.,Ensure proper ventilation and hygiene in cattle housing to minimize disease spread.,Provide high-nutrition feed to maintain body condition.,Test and cull infected animals as there is no effective treatment; implement strict herd surveillance.,,,,,,
Cattle,Cow,Deoni,7.8,Adult,Female,Anthrax,36,False,1,4.0,5,"['Sudden death', 'Fever', 'Weakness and staggering', 'Bleeding from orifices', 'Rapid bloating']",True,Farmer,Bacillus anthracis,Regularly vaccinate livestock in endemic regions and report cases immediately.,Isolate affected areas and implement strict biosecurity.,Avoid handling carcasses and contaminated material.,No treatment; vaccinate and dispose of carcasses safely.,,,,,,
Cattle,Cow,Punganur,1.6,Young,Female,Johne's Disease,34,True,3,365.0,24,"['Weight loss', 'Bottle Jaw', 'Poor Milk Production', 'Poor milk production', 'Chronic diarrhea', 'Weight Loss']",True,Veterinarian,Mycobacterium avium subspecies paratuberculosis,Implement test-and-cull programs and prevent fecal contamination of feed.,Provide high-quality nutrition and stress-free care.,Provide supportive feeding and improve overall hygiene.,No cure is available; cull infected animals and manage herd hygiene.,Weight Loss,Chronic diarrhea,Bottle Jaw,Poor Milk Production,,
Cattle,Buffalo,Banni,0.3,Calf,Female,IBR,0,True,2,4.0,6,"['Conjunctivitis', 'Reduced appetite', 'Fever', 'Abortions', 'Oral ulcers', 'Abortion', 'Red nose', 'Difficulty breathing']",True,Para-vet,BHV‑1,Avoid contact with infected animals and ensure regular vaccination against IBR.,"Keep the animal in a clean, stress-free environment with proper nutrition and hydration.",Steam inhalation to ease nasal congestion.,"Treat the animal with IBR vaccination, broad-spectrum antibiotics to prevent secondary infections, and non-steroidal anti-inflammatory drugs (NSAIDs) to control fever and pain.",Difficulty breathing,Red nose,Abortion,,,
Cattle,Cow,Brown Swiss,0.5,Calf,Female,Theileriosis,6,False,1,4.0,7,"['High fever', 'Weakness', 'Lethargy', 'Inability to stand', 'Jaundice', 'Frothy fluid from nose and mouth']",True,Para-vet,Theileria spp.,Implement strict tick control measures in animals.,Provide proper nutrition and stress-free management during recovery.,Use turmeric and iron decoction to boost immunity.,Administer buparvaquone intramuscularly and provide supportive fluid therapy.,,,,,,
Goat,Common,Barbari,3.0,Adult,Female,Blue Tongue,16,True,2,5.0,13,"['Blue tongue', 'Inability to stand', 'Facial swelling', 'Fever', 'Severe respiratory distress', 'Anorexia', 'Oral ulcers']",True,Farmer,Bluetongue virus transmitted by Culicoides midges,Use insect repellents and avoid grazing during midge activity.,"Provide soft, palatable food and ensure hydration.",Apply aloe vera paste for soothing oral ulcers.,"Provide supportive therapy, fluid administration, and implement insect control measures.",Severe respiratory distress,Anorexia,Inability to stand,,,
Goat,Common,Malabari,4.6,Adult,Male,Polioencephalomalacia,31,False,1,2.0,6,"['Seizures', 'Recumbency', 'Head pressing', 'Circling', 'Muscle Tremors', 'Blindness']",False,Para-vet,Thiamine deficiency or sulfur toxicity,Avoid feeding high-sulfur diets and ensure balanced vitamin intake.,"Keep the animal in a calm, low-stress environment.",Provide molasses mixed with yeast water.,Administer injectable thiamine (Vitamin B1) and anticonvulsants.,,,,,,
Cattle,Buffalo,Nagpuri,3.8,Adult,Female,Tuberculosis,4,False,1,7.0,5,"['Weight loss', 'Poor milk yield', 'Difficulty breathing', 'Intermittent fever', 'Chronic cough', 'Enlarged lymph nodes']",False,Para-vet,Mycobacterium bovis,Regularly test cattle for tuberculosis and cull infected animals to prevent herd infection.,Ensure proper ventilation and hygiene in cattle housing to minimize disease spread.,Provide high-nutrition feed to maintain body condition.,Test and cull infected animals as there is no effective treatment; implement strict herd surveillance.,,,,,,
Goat,Common,Osmanabadi,5.9,Adult,Male,Anorexia,10,True,3,21.0,17,"['Weight loss', 'High fever', 'Reduced feed intake', 'Neurological signs', 'High feverSevere diarrhea', 'Refusal to eat', 'Severe bloating', 'Intense pain']",True,Para-vet,Secondary to multiple systemic diseases or stress,Monitor for underlying diseases and reduce environmental stress.,"Offer soft, palatable food and ensure clean water availability.",Provide green fodder and jaggery water to stimulate appetite.,Treat the underlying cause and provide vitamin supplements.,Refusal to eat,High feverSevere diarrhea,Severe bloating,Neurological signs,Intense pain,Weight loss
Goat,Common,Osmanabadi,0.3,Kid,Female,FMD,15,False,1,8.0,13,"['Sudden death in young animals', 'Reduced milk', 'Lameness', 'Blisters', 'Myocarditis', 'Oral lesions']",True,Veterinarian,FMD virus,Vaccinate regularly and avoid contact with infected animals.,Provide soft feed and ensure clean drinking water.,Apply turmeric paste on lesions and provide aloe vera for hydration.,"Administer NSAIDs for pain relief, provide fluids, and use antiseptic mouthwashes; vaccinate the herd.",,,,,,
Goat,Common,Jamunapari,5.8,Adult,Male,Anorexia,10,True,3,21.0,22,"['Weight loss', 'High fever', 'Reduced feed intake', 'Neurological signs', 'High feverSevere diarrhea', 'Refusal to eat', 'Severe diarrhea', 'Severe bloating', 'Intense pain']",False,Farmer,Secondary to multiple systemic diseases or stress,Monitor for underlying diseases and reduce environmental stress.,"Offer soft, palatable food and ensure clean water availability.",Provide green fodder and jaggery water to stimulate appetite.,Treat the underlying cause and provide vitamin supplements.,Refusal to eat,High feverSevere diarrhea,Severe bloating,Neurological signs,Intense pain,Weight loss
Goat,Common,Jakhrana,6.5,Adult,Male,Toxoplasmosis,20,False,1,5.0,5,"['Weak kids', 'Abortions', 'Fetal mummification', 'Stillbirths']",True,Veterinarian,Toxoplasma gondii,Keep cats away from feed storage areas and use clean bedding.,Provide supportive nutrition and proper care to pregnant animals.,Maintain feed hygiene and control cat access to feed areas.,Administer sulfonamides or tetracyclines along with supportive care.,,,,,,
Goat,Common,Rajasthani cross,7.4,Adult,Male,Tetanus,33,True,2,2.0,10,"['Inability to Eat or Drink', 'Convulsions', 'Lockjaw', 'Muscle spasms', 'Inability to Stand', 'Difficulty Breathing', 'Stiffness']",True,Para-vet,Clostridium tetani infection,Vaccinate animals and promptly clean all wounds.,"Keep the animal in a quiet, stress-free area.",Apply antiseptic dressing to wounds.,"Administer tetanus antitoxin, provide wound care, and use antibiotics.",Inability to Stand,Convulsions,Inability to Eat or Drink,Difficulty Breathing,,
Cattle,Calf,Khillari Calf,4.5,Adult,Male,Blackleg,5,True,2,2.0,13,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Acute lameness', 'Crepitus']",False,Para-vet,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,Crepitus,Inability to stand,Rapid deterioration,,,
Cattle,Cow,Sahiwal,5.2,Adult,Female,Johne's Disease,34,True,3,365.0,21,"['Weight loss', 'Bottle Jaw', 'Poor Milk Production', 'Poor milk production', 'Chronic diarrhea', 'Weight Loss']",True,Veterinarian,Mycobacterium avium subspecies paratuberculosis,Implement test-and-cull programs and prevent fecal contamination of feed.,Provide high-quality nutrition and stress-free care.,Provide supportive feeding and improve overall hygiene.,No cure is available; cull infected animals and manage herd hygiene.,Weight Loss,Chronic diarrhea,Bottle Jaw,Poor Milk Production,,
Cattle,Cow,Ongole,6.6,Adult,Female,Salmonellosis,38,True,2,2.0,5,"['Weight loss', 'Reduced milk', 'Neurological signs', 'Inability to stand', 'Fever', 'Diarrhea']",True,Veterinarian,Salmonella spp.,Maintain strict hygiene in feed and water sources to prevent outbreaks.,Provide energy-rich feed and manage dehydration.,Provide oral rehydration solutions and maintain hygienic feeding practices.,"Administer broad-spectrum antibiotics, fluids, and electrolyte therapy.",Diarrhea,Inability to stand,Neurological signs,,,
Goat,Common,Nubian,0.9,Young,Female,Rabies,3,False,1,8.0,10,"['Seizures', 'Difficulty swallowing', 'Inability to stand', 'Salivation', 'Coma', 'Paralysis']",True,Veterinarian,Rabies virus,Vaccinate all animals regularly and avoid contact with stray or wild animals.,Immediately isolate any animal showing neurological symptoms and consult a veterinarian for herd-level precautions.,No home remedies; rabies is fatal.,There is no treatment for rabies; euthanasia of the affected animal is recommended and herd vaccination must be conducted.,,,,,,
Cattle,Cow,Ayrshire,5.7,Adult,Female,Mastitis,17,False,1,1.0,9,"['Systemic illness', 'Painful milking', 'Painful udder', 'Swollen udder', 'Hot udder', 'Abnormal milk']",False,Veterinarian,"Bacterial infection (Staph, Strep)",Maintain strict milking hygiene and disinfect equipment regularly.,Milk the affected udder gently and provide pain relief.,Apply warm compresses on the udder and turmeric paste for inflammation.,"Use intramammary antibiotics, NSAIDs, and maintain udder hygiene.",,,,,,
Cattle,Bullock,Rathi,2.9,Young,Male,BVD,1,False,1,8.0,6,"['Reduced milk', 'Resp distress', 'Fever', 'Abortion', 'Ulcers in mouth', 'Diarrhea']",False,Para-vet,BVD virus,Implement strict biosecurity measures and regularly vaccinate cattle against BVD.,Ensure isolation of infected animals and maintain proper hygiene in the cattle shed.,Provide electrolyte-enriched water to prevent dehydration.,"Provide supportive fluids to prevent dehydration, administer NSAIDs to reduce fever and inflammation, and follow a proper vaccination program to prevent recurrence.",,,,,,
Cattle,Calf,Karan Swiss Calf,7.9,Adult,Male,Anorexia,10,False,1,7.0,5,"['Weight loss', 'Reduced feed intake', 'Weakness', 'Neurological signs', 'Severe diarrhea', 'Severe bloating']",True,Veterinarian,Secondary to multiple systemic diseases or stress,Monitor for underlying diseases and reduce environmental stress.,"Offer soft, palatable food and ensure clean water availability.",Provide green fodder and jaggery water to stimulate appetite.,Treat the underlying cause and provide vitamin supplements.,,,,,,
Goat,Common,Nubian,7.1,Adult,Male,Milk Fever,29,False,1,7.0,8,"['Complete Collapse', 'Recumbency', 'Muscle tremors', 'Inability to Stand', 'Cold ears', 'Loss of Consciousness']",False,Farmer,Calcium deficiency (Hypocalcemia),Monitor high-yielding animals during calving and provide calcium-rich diets.,Provide soft bedding and help the animal stand to prevent muscle injury.,Provide oral calcium supplements during early lactation.,Administer IV calcium borogluconate under veterinary guidance.,,,,,,
